sl_id,sl_sku_nb,sl_locat_id
1,1001,1
2,1002,2
3,1003,3
4,1004,4
5,1005,5
6,1006,6
7,1007,7
8,1008,8
9,1009,9
10,1010,10
11,1011,11
12,1012,12
13,1013,13
14,1014,14
15,1015,15
16,1016,16
17,1017,17
18,1018,18
19,1019,19
20,1020,20
21,1021,21
22,1022,22
23,1023,23
24,1024,24
25,1025,25
26,1026,26
27,1027,27
28,1028,28
29,1029,29
30,1030,30
31,1031,31
32,1032,32
33,1033,33
34,1034,34
35,1035,35
36,1036,36
37,1037,37
38,1038,38
39,1039,39
40,1040,40
41,1041,41
42,1042,42
43,1043,43
44,1044,44
45,1045,45
46,1046,46
47,1047,47
48,1048,48
49,1049,49
50,1050,50
51,1051,51
52,1052,52
53,1053,53
54,1054,54
55,1055,55
56,1056,56
57,1057,57
58,1058,58
59,1059,59
60,1060,60
61,1061,61
62,1062,62
63,1063,63
64,1064,64
65,1065,65
66,1066,66
67,1067,67
68,1068,68
69,1069,69
70,1070,70
71,1071,71
72,1072,72
73,1073,73
74,1074,74
75,1075,75
76,1076,76
77,1077,77
78,1078,78
79,1079,79
80,1080,80
81,1081,81
82,1082,82
83,1083,83
84,1084,84
85,1085,85
86,1086,86
87,1087,87
88,1088,88
89,1089,89
90,1090,90
91,1091,91
92,1092,92
93,1093,93
94,1094,94
95,1095,95
96,1096,96
97,1097,97
98,1098,98
99,1099,99
100,1100,100
101,1101,101
102,1102,102
103,1103,103
104,1104,104
105,1105,105
106,1106,106
107,1107,107
108,1108,108
109,1109,109
110,1110,110
111,1111,111
112,1112,112
113,1113,113
114,1114,114
115,1115,115
116,1116,116
117,1117,117
118,1118,118
119,1119,119
120,1120,120
121,1121,121
122,1122,122
123,1123,123
124,1124,124
125,1125,125
126,1126,126
127,1127,127
128,1128,128
129,1129,129
130,1130,130
131,1131,131
132,1132,132
133,1133,133
134,1134,134
135,1135,135
136,1136,136
137,1137,137
138,1138,138
139,1139,139
140,1140,140
141,1141,141
142,1142,142
143,1143,143
144,1144,144
145,1145,145
146,1146,146
147,1147,147
148,1148,148
149,1149,149
150,1150,150
151,1151,151
152,1152,152
153,1153,153
154,1154,154
155,1155,155
156,1156,156
157,1157,157
158,1158,158
159,1159,159
160,1160,160
161,1161,161
162,1162,162
163,1163,163
164,1164,164
165,1165,165
166,1166,166
167,1167,167
168,1168,168
169,1169,169
170,1170,170
171,1171,171
172,1172,172
173,1173,173
174,1174,174
175,1175,175
176,1176,176
177,1177,177
178,1178,178
179,1179,179
180,1180,180
181,1181,181
182,1182,182
183,1183,183
184,1184,184
185,1185,185
186,1186,186
187,1187,187
188,1188,188
189,1189,189
190,1190,190
191,1191,191
192,1192,192
193,1193,193
194,1194,194
195,1195,195
196,1196,196
197,1197,197
198,1198,198
199,1199,199
200,1200,200
201,1201,201
202,1202,202
203,1203,203
204,1204,204
205,1205,205
206,1206,206
207,1207,207
208,1208,208
209,1209,209
210,1210,210
211,1211,211
212,1212,212
213,1213,213
214,1214,214
215,1215,215
216,1216,216
217,1217,217
218,1218,218
219,1219,219
220,1220,220
221,1221,221
222,1222,222
223,1223,223
224,1224,224
225,1225,225
226,1226,226
227,1227,227
228,1228,228
229,1229,229
230,1230,230
231,1231,231
232,1232,232
233,1233,233
234,1234,234
235,1235,235
236,1236,236
237,1237,237
238,1238,238
239,1239,239
240,1240,240
241,1241,241
242,1242,242
243,1243,243
244,1244,244
245,1245,245
246,1246,246
247,1247,247
248,1248,248
249,1249,249
250,1250,250
251,1251,251
252,1252,252
253,1253,253
254,1254,254
255,1255,255
256,1256,256
257,1257,257
258,1258,258
259,1259,259
260,1260,260
261,1261,261
262,1262,262
263,1263,263
264,1264,264
265,1265,265
266,1266,266
267,1267,267
268,1268,268
269,1269,269
270,1270,270
271,1271,271
272,1272,272
273,1273,273
274,1274,274
275,1275,275
276,1276,276
277,1277,277
278,1278,278
279,1279,279
280,1280,280
281,1281,281
282,1282,282
283,1283,283
284,1284,284
285,1285,285
286,1286,286
287,1287,287
288,1288,288
289,1289,289
290,1290,290
291,1291,291
292,1292,292
293,1293,293
294,1294,294
295,1295,295
296,1296,296
297,1297,297
298,1298,298
299,1299,299
300,1300,300
301,1301,301
302,1302,302
303,1303,303
304,1304,304
305,1305,305
306,1306,306
307,1307,307
308,1308,308
309,1309,309
310,1310,310
311,1311,311
312,1312,312
313,1313,313
314,1314,314
315,1315,315
316,1316,316
317,1317,317
318,1318,318
319,1319,319
320,1320,320
321,1321,321
322,1322,322
323,1323,323
324,1324,324
325,1325,325
326,1326,326
327,1327,327
328,1328,328
329,1329,329
330,1330,330
331,1331,331
332,1332,332
333,1333,333
334,1334,334
335,1335,335
336,1336,336
337,1337,337
338,1338,338
339,1339,339
340,1340,340
341,1341,341
342,1342,342
343,1343,343
344,1344,344
345,1345,345
346,1346,346
347,1347,347
348,1348,348
349,1349,349
350,1350,350
